"","atmnevek","cimek","lon","lat"
"4460","UniCredit Bank Zrt. - ATM","Kőrösi Csoma sétány 8, 1102 Budapest",19.1300986,47.4843184
"4461","FHB Bank Zrt - ATM","Kós Károly tér 1, 1192 Budapest",19.1274248,47.45619
"4462","OTP Bank Nyrt. - Fiók","Kőrösi Csoma sétány 6, 1102 Budapest",19.1293261,47.4837836
"4463","BUDAPEST Bank Zrt. - Fiók","Kőrösi Csoma sétány 4., 1102 Budapest",19.1297437,47.4839821
"4464","BUDAPEST Bank Zrt. - ATM","Kőrösi Csoma sétány 4., 1102 Budapest",19.1297437,47.4839821
"4465","CIB Bank Zrt. - ATM","Kőrösi Csoma Sándor út 2-4., 1102 Budapest",19.129812,47.482807
"4466","OTP Bank Nyrt. - Fiók","Nagy Lajos király útja 19-21, 1148 Budapest",19.1330287,47.5073996
"4467","Magyar Posta Zrt. - Fiók","Béke utca 52/a, 2612 Kosd",19.174568,47.800269
"4468","OTP Bank Nyrt. - ATM","Kőrösi Cs. sétány 6, 1102 Budapest",19.1293261,47.4837836
"4469","OTP Bank Nyrt. - ATM","Kőrösi Cs. sétány 6, 1102 Budapest",19.1293261,47.4837836
"4470","K&H Bank Zrt. - Fiók","Liget tér 3, 1102 Budapest",19.129389,47.483293
"4471","K&H Bank Zrt. - ATM","Liget tér 3., 1102 Budapest",19.129389,47.483293
"4472","CIB Bank Zrt. - Fiók","Kőrösi Csoma Sándor út 2-4., 1102 Budapest",19.129812,47.482807
"4473","OTP Bank Nyrt. - ATM","Liget tér 5, 1102 Budapest",19.1287089,47.483622
"4474","CIB Bank Zrt. - ATM","Némedi utca 102/a., 2330 Dunaharaszti",19.1167221,47.346649
"4475","OTP Bank Nyrt. - ATM","Keceli utca 3, 6239 Császártöltés",19.1763624,46.4216456
"4476","Magyar Posta Zrt. - Fiók","Keceli utca 3., 6239 Császártöltés",19.1763624,46.4216456
"4477","""Rónasági"" Takarékszövetkezet - ATM","Bajai u. 1, 6239 Császártöltés",19.175497,46.420927
"4478","""Rónasági"" Takarékszövetkezet - Fiók","Bajai u. 1, 6239 Császártöltés",19.175497,46.420927
"4479","OTP Bank Nyrt. - ATM","Pestújhegyi út 66, 1158 Budapest",19.1295646,47.541405
"4480","Euronet Banktechikai Kft. - ATM","Egressy út 178, 1149 Budapest",19.126244,47.519364
"4481","Sberbank Magyarország Zrt - Fiók","Grassalkovich utca 167/b, 1238 Budapest",19.1149072,47.3997301
"4482","Sberbank Magyarország Zrt - ATM","Grassalkovich utca 167/b, 1238 Budapest",19.1149072,47.3997301
"4483","OTP Bank Nyrt. - ATM","Buzogány utca 10-12, 1149 Budapest",19.124714,47.508086
"4484","K&H Bank Zrt. - ATM","Hősök tere 14, 1239 Budapest",19.1142359,47.3985912
"4485","K&H Bank Zrt. - Fiók","Hősök tere 14, 1239 Budapest",19.1142359,47.3985912
"4486","OTP Bank Nyrt. - ATM","Grassalkovich út 160, 1238 Budapest",19.1145299,47.399357
